"Name","Time","Link","Rating"
"Danny Noia","32:49.9","https://www.tfrrs.org/athletes/9185690/Manhattanville/Danny__Noia_.html","525.1220867127792"
"Kenneth Montes","33:22.8","https://www.tfrrs.org/athletes/8948103/St_Peters/Kenneth_Montes.html","508.0114256738891"
"Courtney Brown","33:29.2","https://www.tfrrs.org/athletes/8674086/Manhattanville/Courtney__Brown.html","504.7801944304955"
"Tony Echeverria","34:45.4","https://www.tfrrs.org/athletes/8931417/John_Jay/Tony__Echeverria.html","468.56506667381115"
"Darlig Delgado","36:09.4","https://www.tfrrs.org/athletes/8265370/Manhattanville/Darlig__Delgado.html","432.98153316309237"
"Aka Udeagha","41:34.3","https://www.tfrrs.org/athletes/8984445/Manhattanville/Aka__Udeagha_.html","327.5301409657479"
"Robinson Correra","50:26.3","https://www.tfrrs.org/athletes/9217570/John_Jay/Robinson_Correra.html","222.49727165201818"
"Emmanuel Leblond","23:35.0","https://www.tfrrs.org/athletes/8261701/Johns_Hopkins/Emmanuel_Leblond.html","1045.08805000672"
"Mohammed Bati","23:39.6","https://www.tfrrs.org/athletes/8238957/Augsburg/Mohammed_Bati.html","1038.3261224298783"
"Isaac vanWestrienen","23:39.8","https://www.tfrrs.org/athletes/8610918/Cornell_College/Isaac_vanWestrienen.html","1038.0336156005862"
"Ryan Hagan","23:52.7","https://www.tfrrs.org/athletes/8685713/Geneseo_St/Ryan_Hagan.html","1019.4249059579117"
"Grant Matthai","23:53.7","https://www.tfrrs.org/athletes/8280388/Wis_La_Crosse/Grant_Matthai.html","1018.0033123420001"
"Nathan Tassey","23:54.3","https://www.tfrrs.org/athletes/8264910/Roger_Williams/Nathan_Tassey.html","1017.1517830506526"
"Aidan Matthai","23:55.2","https://www.tfrrs.org/athletes/8280387/Wis_La_Crosse/Aidan_Matthai.html","1015.8764910021052"
"Jacob Curulewski","23:56.0","https://www.tfrrs.org/athletes/8266439/Carthage/Jacob_Curulewski.html","1014.7449104817164"
"Jayden Zywicki","24:02.7","https://www.tfrrs.org/athletes/8280390/Wis_La_Crosse/Jayden_Zywicki.html","1005.341702788776"
"Isaiah Hammerand","24:09.9","https://www.tfrrs.org/athletes/8585435/Wartburg/Isaiah_Hammerand.html","995.3817225543061"
"Jack Stein","24:10.2","https://www.tfrrs.org/athletes/8262564/Pomona_Pitzer/Jack__Stein.html","994.9699398624434"
"Kevin Turlington","24:12.3","https://www.tfrrs.org/athletes/8254424/St_Olaf/Kevin_Turlington.html","992.0946024949426"
"Lance Sobaski","24:12.9","https://www.tfrrs.org/athletes/8352892/Wartburg/Lance_Sobaski.html","991.2753666896605"
"Isaac Bourne","24:14.3","https://www.tfrrs.org/athletes/8920410/Loras/Isaac_Bourne.html","989.367758178535"
"Emerson Comer","24:14.5","https://www.tfrrs.org/athletes/8623439/Geneseo_St/Emerson_Comer.html","989.0956922487944"
"Will Shuflit","24:15.2","https://www.tfrrs.org/athletes/8584739/Colorado_College/Will_Shuflit.html","988.1443447244608"
"Joey Sullivan","24:16.2","https://www.tfrrs.org/athletes/8280389/Wis_La_Crosse/Joey_Sullivan.html","986.7876560058139"
"Eli Larson","24:17.0","https://www.tfrrs.org/athletes/8352862/Wartburg/Eli_Larson.html","985.704315721328"
"Anthony Clark","24:22.9","https://www.tfrrs.org/athletes/9193666/Johns_Hopkins/Anthony_Clark.html","977.7694904476355"
"Cameron Cullen","24:26.8","https://www.tfrrs.org/athletes/8262614/Wis_Oshkosh/Cameron_Cullen.html","972.5769195223822"
"Cullen McCaleb","24:27.7","https://www.tfrrs.org/athletes/8250207/Tufts/Cullen_McCaleb.html","971.384508467264"
"Evan Lacey","24:27.9","https://www.tfrrs.org/athletes/8625312/RPI/Evan_Lacey.html","971.1198260411171"
"Amir Barkan","24:30.8","https://www.tfrrs.org/athletes/9212009/Pomona_Pitzer/Amir_Barkan.html","967.2940562895628"
"Jack Hesse-Withbroe","24:31.6","https://www.tfrrs.org/athletes/8005554/Wis_Eau_Claire/Jack_Hesse-Withbroe.html","966.2426497843198"
"Luke Holland","24:31.8","https://www.tfrrs.org/athletes/8250855/UC_Santa_Cruz/Luke_Holland.html","965.9800660095189"
"Colin Goldschmidt","24:32.4","https://www.tfrrs.org/athletes/8625311/RPI/Colin_Goldschmidt.html","965.1929565974932"
"Renne Cooper","24:32.6","https://www.tfrrs.org/athletes/8905801/MIT/Renne_Cooper.html","964.9308005705642"
"Tobin Durham","24:33.1","https://www.tfrrs.org/athletes/8270865/RPI/Tobin_Durham.html","964.2758775904313"
"Pierce Young","24:33.3","https://www.tfrrs.org/athletes/8623446/Geneseo_St/Pierce_Young.html","964.0140950810928"
"BJ Sorg","24:33.7","https://www.tfrrs.org/athletes/8582903/North_Central_IL/BJ_Sorg.html","963.4908497714645"
"Theo Udelson-Nee","24:33.8","https://www.tfrrs.org/athletes/9178753/NYU/Theo_Udelson-Nee.html","963.3601050079319"
"Oscar Frontjes","24:34.9","https://www.tfrrs.org/athletes/8895255/North_Central_IL/Oscar_Frontjes.html","961.9236673541343"
"Liam Hagerty","24:37.6","https://www.tfrrs.org/athletes/8902262/NYU/Liam_Hagerty.html","958.4114570240195"
"Jefferson Wright","24:38.1","https://www.tfrrs.org/athletes/8918508/Pomona_Pitzer/Jefferson__Wright.html","957.7631589690209"
"Harris Gulbransen","24:38.1","https://www.tfrrs.org/athletes/8626974/Tufts/Harris_Gulbransen.html","957.7631589690209"
"Eric Rutherford","24:38.8","https://www.tfrrs.org/athletes/8233050/Loras/Eric_Rutherford.html","956.8566462100406"
"Jack Kinzer","24:40.8","https://www.tfrrs.org/athletes/7918369/Wartburg/Jack_Kinzer.html","954.2736897791029"
"Sanju Patel","24:41.6","https://www.tfrrs.org/athletes/8586789/U_of_Chicago/Sanju_Patel.html","953.2434348584836"
"Gavin Byerly","24:42.6","https://www.tfrrs.org/athletes/8239137/Manchester/Gavin_Byerly.html","951.9579607482524"
"Jeffrey Chen","24:43.2","https://www.tfrrs.org/athletes/8259472/NYU/Jeffrey_Chen.html","951.1879240066529"
"Anson Butler","24:44.1","https://www.tfrrs.org/athletes/8270768/Geneseo_St/Anson_Butler.html","950.0346195670583"
"Donovan Crowley","24:44.5","https://www.tfrrs.org/athletes/8927609/Case_Western/Donovan_Crowley.html","949.5227129988233"
